gameid,year,date,league,split,playoffs,game,position,playername,teamname,teamid,result
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,top,Rascal,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,jng,Sponge,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,mid,SeTab,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,bot,Teddy,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,sup,Pleata,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,top,DnDn,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,jng,Sylvie,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,mid,Callme,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,bot,Jiwoo,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,sup,Peter,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,top,Rascal,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,jng,Sponge,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,mid,SeTab,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,bot,Teddy,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
