gameid,year,date,league,split,playoffs,game,position,teamname,teamid,result,golddiffat15,golddiffat25,earnedgold,gamelength,towers,opp_towers,competitive_score,score_time_weight,score_regional,score_final_gold,score_mid_gold
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,3915,1348.0,45765,2507,3,9,40,0.6369444444444445,0.0,0.0,0.0
LOLTMNT02_22165,2024,2024-01-17,LCK,Spring,0,1,team,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,-3915,-1348.0,52015,2507,9,3,60,0.6369444444444445,8.0,6.391900184086725,0.0
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,-354,-6971.0,25488,1710,2,10,15,0.8583333333333334,0.0,0.0,0.0
LOLTMNT02_21206,2024,2024-01-17,LCK,Spring,0,2,team,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,354,6971.0,36405,1710,10,2,85,0.8583333333333334,12.0,17.638505162134653,10.0
LOLTMNT02_22225,2024,2024-01-17,LCK,Spring,0,1,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,0,-1552,-2596.0,28167,1739,1,8,22,0.8502777777777778,0.0,0.0,0.0
LOLTMNT02_22225,2024,2024-01-17,LCK,Spring,0,1,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1,1552,2596.0,36258,1739,8,1,78,0.8502777777777778,14.285714285714286,12.558789289871944,5.192
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,532,1914.0,35858,1890,5,8,43,0.8083333333333333,0.0,0.0,0.0
LOLTMNT02_21273,2024,2024-01-17,LCK,Spring,0,2,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,-532,-1914.0,40978,1890,8,5,57,0.8083333333333333,1.8181818181818183,6.663543130824093,0.0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,-3954,-5160.0,51476,2571,6,10,37,0.6191666666666666,0.0,0.0,0.0
LOLTMNT02_21295,2024,2024-01-17,LCK,Spring,0,3,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,3954,5160.0,59710,2571,10,6,63,0.6191666666666666,2.8571428571428568,7.405608619790262,10.0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,team,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0,-107,-5196.0,29356,1752,4,10,23,0.8466666666666667,0.0,0.0,0.0
LOLTMNT02_21688,2024,2024-01-18,LCK,Spring,0,1,team,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1,107,5196.0,39373,1752,10,4,77,0.8466666666666667,6.666666666666666,14.574633706295742,10.0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,team,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0,1373,-1096.0,40051,2348,4,10,36,0.6811111111111111,0.0,0.0,0.0
LOLTMNT02_21701,2024,2024-01-18,LCK,Spring,0,2,team,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,1,-1373,1096.0,49719,2348,10,4,64,0.6811111111111111,6.666666666666666,10.769744903642643,2.192
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,team,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1,260,1114.0,45153,2068,8,2,68,0.7588888888888888,10.0,10.849791940294844,2.228
LOLTMNT02_22739,2024,2024-01-18,LCK,Spring,0,1,team,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0,-260,-1114.0,36314,2068,2,8,32,0.7588888888888888,0.0,0.0,0.0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,team,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,0,-1542,-11453.0,24770,1591,0,11,5,0.8913888888888889,0.0,0.0,0.0
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,team,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1,1542,11453.0,40856,1591,11,0,95,0.8913888888888889,20.0,20.0,10.0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,team,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1,-542,-994.0,39777,1940,9,4,63,0.7944444444444444,5.454545454545454,9.808414310954063,0.0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,542,994.0,32671,1940,4,9,37,0.7944444444444444,0.0,0.0,0.0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,team,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1,3682,,32390,1390,10,1,94,0.9472222222222222,15.555555555555555,20.0,10.0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,-3682,,20652,1390,1,10,6,0.9472222222222222,0.0,0.0,0.0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1,5977,15949.0,41049,1556,11,0,96,0.9011111111111111,20.0,20.0,10.0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,team,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0,-5977,-15949.0,23543,1556,0,11,4,0.9011111111111111,0.0,0.0,0.0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1,-985,-167.0,35514,1606,5,5,54,0.8872222222222222,0.0,3.7313977772260603,0.0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,team,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0,985,167.0,32959,1606,5,5,46,0.8872222222222222,0.0,0.0,0.0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,team,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0,-2656,-12065.0,22680,1556,0,9,4,0.9011111111111111,0.0,0.0,0.0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,team,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1,2656,12065.0,37010,1556,9,0,96,0.9011111111111111,20.0,20.0,10.0
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,team,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1,65,5121.0,39914,1744,9,1,88,0.8488888888888889,15.0,18.947431159852187,10.0
